Country,Measure,Year,WasteValue
Austria,RECYCLING,2020,3006
Czechia,RECYCLING,2004,138
Czechia,RECYCLING,2017,1134
Denmark,RECYCLING,1995,391
Denmark,RECYCLING,2011,1364
Estonia,RECYCLING,2008,78
Finland,RECYCLING,2015,770
Hungary,RECYCLING,2004,501
Ireland,RECYCLING,2019,858
Ireland,RECYCLING,2020,948
Italy,RECYCLING,2007,5536
Italy,RECYCLING,2015,7864
Lithuania,RECYCLING,2008,101
Luxembourg,RECYCLING,2016,136
Netherlands,RECYCLING,2008,2450
Norway,RECYCLING,2001,496
Norway,RECYCLING,2014,567
Norway,RECYCLING,2016,1105
Norway,RECYCLING,2020,1379
Poland,RECYCLING,2014,2180
Poland,RECYCLING,2023,2120
Portugal,RECYCLING,2002,213
Portugal,RECYCLING,2007,528
Slovak Republic,RECYCLING,2005,14
Slovenia,RECYCLING,2015,430
Sweden,RECYCLING,2020,898
Türkiye,RECYCLING,2016,2946
United Kingdom,RECYCLING,2000,2836
Romania,RECYCLING,2003,17
Romania,RECYCLING,2010,162
Australia,RECYCLING,2008,4020
Australia,RECYCLING,2012,4314
Australia,RECYCLING,2013,4234
Austria,RECYCLING,2001,1125
Austria,RECYCLING,2002,1115
Austria,RECYCLING,2003,1110
Austria,RECYCLING,2019,1363
Denmark,RECYCLING,2009,1310
Denmark,RECYCLING,2010,1310
Denmark,RECYCLING,2020,1214
Germany,RECYCLING,2019,24293
Germany,RECYCLING,2023,22621
Luxembourg,RECYCLING,2019,146
Netherlands,RECYCLING,2022,2353
Poland,RECYCLING,2015,2867
Poland,RECYCLING,2016,3243
Poland,RECYCLING,2017,3199
Poland,RECYCLING,2018,3269
Poland,RECYCLING,2019,3192
Slovak Republic,RECYCLING,1997,35
Slovenia,RECYCLING,2016,380
Slovenia,RECYCLING,2017,412
Slovenia,RECYCLING,2018,429
Slovenia,RECYCLING,2019,447
Slovenia,RECYCLING,2020,460
Spain,RECYCLING,2022,4839
Spain,RECYCLING,2023,4665
Türkiye,RECYCLING,2017,2982
Türkiye,RECYCLING,2019,3902
Türkiye,RECYCLING,2021,4199
Bulgaria,RECYCLING,1998,776
Bulgaria,RECYCLING,1999,769
Bulgaria,RECYCLING,2000,775
Bulgaria,RECYCLING,2001,770
Bulgaria,RECYCLING,2002,770
Bulgaria,RECYCLING,2003,774
Bulgaria,RECYCLING,2004,793
Bulgaria,RECYCLING,2005,822
Bulgaria,RECYCLING,2006,839
Bulgaria,RECYCLING,2007,858
Bulgaria,RECYCLING,2008,871
Bulgaria,RECYCLING,2009,887
Romania,RECYCLING,2020,310
Romania,RECYCLING,2021,384
Czechia,RECYCLING,2005,166
Czechia,RECYCLING,2006,201
Czechia,RECYCLING,2007,276
Czechia,RECYCLING,2008,280
Czechia,RECYCLING,2009,353
Czechia,RECYCLING,2010,452
Czechia,RECYCLING,2011,496
Czechia,RECYCLING,2012,665
Czechia,RECYCLING,2013,686
Czechia,RECYCLING,2014,736
Czechia,RECYCLING,2015,851
Czechia,RECYCLING,2016,958
France,RECYCLING,2006,5806
France,RECYCLING,2008,6385
France,RECYCLING,2010,6937
France,RECYCLING,2012,7293
France,RECYCLING,2014,7605
France,RECYCLING,2016,7992
France,RECYCLING,2017,8182
France,RECYCLING,2018,7960
France,RECYCLING,2019,8168
France,RECYCLING,2020,8495
France,RECYCLING,2021,9515
France,RECYCLING,2022,8298
France,RECYCLING,2023,8191
OECD America,RECYCLING,1995,17
OECD America,RECYCLING,1996,15
OECD America,RECYCLING,1997,15
OECD America,RECYCLING,1998,17
OECD America,RECYCLING,1999,17
OECD America,RECYCLING,2000,17
OECD America,RECYCLING,2001,18
OECD America,RECYCLING,2002,18
OECD America,RECYCLING,2003,18
OECD America,RECYCLING,2004,18
OECD America,RECYCLING,2005,19
OECD America,RECYCLING,2006,19
OECD America,RECYCLING,2007,19
OECD America,RECYCLING,2008,19
OECD America,RECYCLING,2009,19
OECD America,RECYCLING,2010,20
OECD America,RECYCLING,2011,20
OECD America,RECYCLING,2012,20
OECD America,RECYCLING,2013,20
OECD America,RECYCLING,2014,20
OECD America,RECYCLING,2015,20
OECD America,RECYCLING,2016,20
OECD America,RECYCLING,2017,20
OECD America,RECYCLING,2018,20
OECD America,RECYCLING,2019,20
OECD America,RECYCLING,2020,20
OECD America,RECYCLING,2021,20
OECD America,RECYCLING,2022,20
OECD America,RECYCLING,2023,20
OECD Asia Oceania,RECYCLING,1995,14
OECD Asia Oceania,RECYCLING,1996,15
OECD Asia Oceania,RECYCLING,1997,16
OECD Asia Oceania,RECYCLING,1998,17
OECD Asia Oceania,RECYCLING,1999,19
OECD Asia Oceania,RECYCLING,2000,20
OECD Asia Oceania,RECYCLING,2001,21
OECD Asia Oceania,RECYCLING,2002,21
OECD Asia Oceania,RECYCLING,2003,22
OECD Asia Oceania,RECYCLING,2004,23
OECD Asia Oceania,RECYCLING,2005,25
OECD Asia Oceania,RECYCLING,2006,26
OECD Asia Oceania,RECYCLING,2007,27
OECD Asia Oceania,RECYCLING,2008,28
OECD Asia Oceania,RECYCLING,2009,27
OECD Asia Oceania,RECYCLING,2010,27
OECD Asia Oceania,RECYCLING,2011,27
OECD Asia Oceania,RECYCLING,2012,28
OECD Asia Oceania,RECYCLING,2013,28
OECD Asia Oceania,RECYCLING,2014,27
OECD Asia Oceania,RECYCLING,2015,27
OECD Asia Oceania,RECYCLING,2016,27
OECD Asia Oceania,RECYCLING,2017,27
OECD Asia Oceania,RECYCLING,2018,28
OECD Asia Oceania,RECYCLING,2019,27
OECD Asia Oceania,RECYCLING,2020,27
OECD Asia Oceania,RECYCLING,2021,26
OECD Asia Oceania,RECYCLING,2022,27
OECD Asia Oceania,RECYCLING,2023,27
OECD Europe,RECYCLING,1995,12
OECD Europe,RECYCLING,1996,13
OECD Europe,RECYCLING,1997,14
OECD Europe,RECYCLING,1998,15
OECD Europe,RECYCLING,1999,17
OECD Europe,RECYCLING,2000,17
OECD Europe,RECYCLING,2001,17
OECD Europe,RECYCLING,2002,19
OECD Europe,RECYCLING,2003,19
OECD Europe,RECYCLING,2004,20
OECD Europe,RECYCLING,2005,21
OECD Europe,RECYCLING,2006,21
OECD Europe,RECYCLING,2007,23
OECD Europe,RECYCLING,2008,24
OECD Europe,RECYCLING,2009,24
OECD Europe,RECYCLING,2010,25
OECD Europe,RECYCLING,2011,25
OECD Europe,RECYCLING,2012,26
OECD Europe,RECYCLING,2013,26
OECD Europe,RECYCLING,2014,27
OECD Europe,RECYCLING,2015,28
OECD Europe,RECYCLING,2016,28
OECD Europe,RECYCLING,2017,28
OECD Europe,RECYCLING,2018,28
OECD Europe,RECYCLING,2019,28
OECD Europe,RECYCLING,2020,28
OECD Europe,RECYCLING,2021,29
OECD Europe,RECYCLING,2022,29
OECD Europe,RECYCLING,2023,28
OECD,RECYCLING,1995,14
OECD,RECYCLING,1996,14
OECD,RECYCLING,1997,15
OECD,RECYCLING,1998,16
OECD,RECYCLING,1999,17
OECD,RECYCLING,2000,17
OECD,RECYCLING,2001,18
OECD,RECYCLING,2002,19
OECD,RECYCLING,2003,19
OECD,RECYCLING,2004,20
OECD,RECYCLING,2005,20
OECD,RECYCLING,2006,21
OECD,RECYCLING,2007,22
